Array Size (MB),Number of Iterations,Panama - Average time,Panama - Minimum time,Panama - Maximum time,Panama - Standard deviation,Primitive - Average time,Primitive - Minimum time,Primitive - Maximum time,Primitive - Standard deviation
1,10,256523,247834,272926,9686,531437,232444,3116699,861836
1,50,254422,239049,286583,10618,235055,217018,262841,10559
1,100,244310,234716,297362,8385,225776,215910,302287,12486
1,200,236072,228137,348259,11856,217265,205584,643991,32385
5,10,1184477,1161573,1224353,23989,1073667,1052110,1093341,12034
5,50,1183551,1163567,1247066,16904,1061346,1035981,1175982,26593
5,100,817393,260009,2328632,459992,1077812,1033000,2222842,120870
5,200,314300,247131,1187156,206867,1021521,281829,2187236,182387
50,10,11755050,11651977,11894607,64469,10543300,10510769,10586910,26129
50,50,11571351,11450742,12108983,95620,10284972,10168413,10482082,64998
50,100,10086532,2608915,15637773,3243466,10485002,4543885,27291055,1822306
50,200,2677341,2461980,5534259,355696,10256648,2876155,12496095,619148
500,10,44530447,43140471,51417742,2681843,104691967,101595475,123172060,6218817
500,50,28772018,25306775,45540731,6169480,104813837,100905192,146193830,9158859
500,100,26403489,25353706,37022081,1476534,104271780,100249216,148206303,8981074
500,200,25805499,25271683,27988638,399539,104984890,100487072,171246289,11398220
1000,10,53488025,51784998,56776356,1306130,207317911,204369340,216134601,3282182
1000,50,52749277,51122521,61010487,1962032,210461134,201235044,286092624,19712532
1000,100,51837976,50880041,55822055,776699,209998083,200828926,292984283,20719502
1000,200,51944159,50900911,67009876,1397302,210712309,200795843,301848327,21261112
